기간	구분	총지수	식료품 및 비주류음료	식료품 및 비주류음료	식료품 및 비주류음료	주류ㆍ담배	주류ㆍ담배	주류ㆍ담배	의복ㆍ신발	의복ㆍ신발	의복ㆍ신발	주택ㆍ수도ㆍ전기 및 연료	주택ㆍ수도ㆍ전기 및 연료	주택ㆍ수도ㆍ전기 및 연료	주택ㆍ수도ㆍ전기 및 연료	주택ㆍ수도ㆍ전기 및 연료	가정용품 및 가사서비스	가정용품 및 가사서비스	가정용품 및 가사서비스	가정용품 및 가사서비스	가정용품 및 가사서비스	가정용품 및 가사서비스	가정용품 및 가사서비스	보건	보건	보건	보건	교통	교통	교통	교통	통신	통신	통신	통신	오락 및 문화	오락 및 문화	오락 및 문화	오락 및 문화	오락 및 문화	오락 및 문화	오락 및 문화	교육	교육	교육	교육	교육	음식 및 숙박	음식 및 숙박	음식 및 숙박	기타 상품 및 서비스	기타 상품 및 서비스	기타 상품 및 서비스	기타 상품 및 서비스
기간	구분	총지수	계	식료품	비주류음료	계	주류	담배	계	의류	신발	계	주택임차료	주거시설 유지·보수	수도 및 주거관련 서비스	전기가스 및 기타연료	계	가구ㆍ가사비품 및 카페트	가정용 섬유제품	가정용 기기	주방용품 및 가정용품	가정ㆍ정원용 공구 및 장비	일상 생활용품 및 가사서비스	계	의료용품 및 장비	외래환자 서비스	병원서비스	계	운송장비	개인운송장비 운영	운송서비스	계	우편서비스	전화 및 팩스장비	전화 및 팩스서비스	계	음향ㆍ영상ㆍ사진 및 정보처리 장비	기타 오락 및 문화용 주요내구재	기타 오락용품ㆍ조경용품 및 애완동물	오락 및 문화서비스	신문ㆍ서적 및 문방구	단체여행	계	유치원 및 초등교육	중등교육	고등교육	기타교육	계	음식서비스	숙박서비스	계	미용용품 및 미용서비스	기타 개인용품	기타 서비스
2019.01	구분	104.54	107.82	108.27	101.23	102.66	108.2	100	103.58	103.81	102.04	103.06	106.01	111.22	110.16	85.99	107.64	121.17	103.04	101.59	98.29	102.36	111.35	102.32	98.3	106.37	100.26	100.76	99.3	97.32	105.22	98.37	109.07	102.59	97.45	101.35	90.07	107.57	104.56	105.08	104.51	98.24	105.24	104.97	101.21	99.66	107.55	110.69	110.88	105.39	106.63	98.57	106.29	121.28
2019.02	구분	105.07	108.54	109.05	100.9	102.5	107.73	100	104.2	103.79	106.74	104.12	106.04	111.61	119.36	85.98	109	122.91	102.67	102.88	102.58	102.61	112.41	102.41	98.66	106.37	99.92	101.18	99.15	96.35	107.43	97.55	109.07	99.98	97.01	102.22	89.79	106.92	106	105.43	104.91	100.06	105.32	104.97	101.21	99.66	107.68	110.76	110.98	105.01	107.25	99.35	107.03	121.56
2019.03	구분	104.86	107.56	107.96	101.41	102.22	106.87	100	104.23	103.82	106.76	103.97	106.04	112.16	117.85	85.97	109.07	122.91	103.58	102.82	99.75	102.6	113.3	102.38	98.63	106.32	99.92	101.39	98.95	96.91	107.55	97.28	109.07	99.98	96.69	101.41	89.04	106.55	105.85	105.61	104.85	97.71	105.63	107.23	101.77	99.43	108.06	110.4	110.67	103.37	107.38	99.72	106.23	121.71
2019.04	구분	105.26	108.88	109.42	100.99	103.14	109.62	100	104.08	103.66	106.76	103.77	106.05	112.91	115.81	85.99	109.89	122.7	104.36	103.88	103.25	102.65	113.93	102.47	99.14	106.09	99.92	102.51	99.34	99.16	108.03	97.55	109.07	102.57	96.45	102.59	90.02	105.88	103.54	105.96	105.11	101.46	105.66	107.23	101.77	99.43	108.12	110.64	110.92	103.35	107.75	99.64	108.05	122.2
2019.05	구분	105.31	108.23	108.76	100.44	103.51	110.72	100	104.22	103.82	106.76	103.85	106.04	113.77	116.25	85.99	108.74	118.09	104.36	102.9	103.81	102.52	113.94	102.52	99.24	106.09	99.89	104.01	99.18	103.17	108.15	97.35	121.67	102.57	96.18	102.04	90.71	106.65	102.42	105.96	105.22	99.87	105.7	107.23	101.77	99.43	108.17	110.75	110.99	104.67	108.09	100.28	107.87	122.21
2019.06	구분	105.17	107.33	107.77	100.82	103.81	111.63	100	104.34	103.82	107.59	103.77	106	114	115.7	86	108.48	117.96	104.39	102.56	102.66	101.85	113.93	102.84	100.08	106.09	99.89	104.27	98.89	103.83	108.35	97.19	121.67	102.57	95.99	100.91	90.51	106.01	99.91	106.06	105.46	97.2	105.85	107.23	101.77	99.43	108.39	110.9	111.13	104.46	107.9	99.97	107.15	122.49
2019.07	구분	104.91	105.84	106.12	101.31	103.71	111.33	100	104.33	103.81	107.58	102.91	106.04	114.41	115.22	81.21	109.53	123.02	104.53	102.53	102.72	100.05	114.86	102.56	99.46	106.08	99.61	104.04	99.18	102.32	109.09	96.78	121.67	100.7	95.9	102.8	89.83	102.68	100.61	106.09	105.55	103.06	105.79	107.23	101.77	99.43	108.3	111.06	111.17	108.13	107.95	100.01	107.36	122.49
2019.08	구분	105.21	107.19	107.56	101.65	103.78	111.55	100	104.33	103.81	107.58	102.95	106.04	114.53	115.35	81.34	109.36	122.67	104.53	101.63	105.08	100.12	115.05	102.62	99.63	106.08	99.61	104.21	98.69	102.34	109.85	97.15	121.67	103.23	95.79	103.82	88.47	102.6	100.84	106.03	105.46	106.71	105.81	107.23	101.77	99.43	108.33	111.35	111.25	113.17	107.89	99.91	107.3	122.52
2019.09	구분	105.57	110.46	111.05	101.96	104.15	112.63	100	104.37	103.81	107.88	104.03	106.06	114.63	114.88	87.7	108.93	122.41	104.53	101.28	99.3	100.49	115.53	102.75	100.08	106.14	99.19	104.26	98.35	103.99	108.53	97.42	121.67	105.09	95.71	102.48	87.43	99.59	102.41	106.02	105.56	102.42	103.96	107.23	67.85	99.43	108.49	111.18	111.32	107.16	107.81	99.09	109.81	122.52
